,x,y,z,,,,,,,,,,,,,,,,,,119.0466667,278.59,235.61
128,3.176666667,-7.68,7.09,,,0.27,0.676666667,0.086666667,-0.27,0.676666667,0.086666667,,,,,,-0.27,0.676666667,0.086666667,,0.27,0.676666667,0.086666667
129,3.386666667,-7.446666667,6.57,,,0.21,0.233333333,0.52,0.21,0.233333333,-0.52,,,,,,0.21,0.233333333,-0.52,,0.21,0.233333333,0.52
130,3.35,-7.253333333,7.14,,,0.036666667,0.193333334,0.57,-0.036666667,0.193333334,0.57,,,,,,-0.036666667,0.193333334,0.57,,0.036666667,0.193333334,0.57
131,3.673333333,-7.51,6.076666667,,,0.323333333,0.256666667,1.063333333,0.323333333,-0.256666667,-1.063333333,,,,,,0.323333333,-0.256666667,-1.063333333,,0.323333333,0.256666667,1.063333333
132,3.286666667,-7.263333333,6.45,,,0.386666666,0.246666667,0.373333333,-0.386666666,0.246666667,0.373333333,,,,,,-0.386666666,0.246666667,0.373333333,,0.386666666,0.246666667,0.373333333
133,2.73,-7.79,6.613333333,,,0.556666667,0.526666667,0.163333333,-0.556666667,-0.526666667,0.163333333,,,,,,-0.556666667,-0.526666667,0.163333333,,0.556666667,0.526666667,0.163333333
134,2.63,-8.97,7.36,,,0.1,1.18,0.746666667,-0.1,-1.18,0.746666667,,,,,,-0.1,-1.18,0.746666667,,0.1,1.18,0.746666667
135,2.456666667,-8.983333333,6.62,,,0.173333333,0.013333333,0.74,-0.173333333,-0.013333333,-0.74,,,,,,-0.173333333,-0.013333333,-0.74,,0.173333333,0.013333333,0.74
136,2.81,-8.57,6.866666667,,,0.353333333,0.413333333,0.246666667,0.353333333,0.413333333,0.246666667,,,,,,0.353333333,0.413333333,0.246666667,,0.353333333,0.413333333,0.246666667
137,2.813333333,-7.11,5.993333333,,,0.003333333,1.46,0.873333334,0.003333333,1.46,-0.873333334,,,,,,0.003333333,1.46,-0.873333334,,0.003333333,1.46,0.873333334
138,2.836666667,-6.31,6.96,,,0.023333334,0.8,0.966666667,0.023333334,0.8,0.966666667,,,,,,0.023333334,0.8,0.966666667,,0.023333334,0.8,0.966666667
139,3.046666667,-6.743333333,5.643333333,,,0.21,0.433333333,1.316666667,0.21,-0.433333333,-1.316666667,,,,,,0.21,-0.433333333,-1.316666667,,0.21,0.433333333,1.316666667
140,3.223333333,-7.29,7.173333333,,,0.176666666,0.546666667,1.53,0.176666666,-0.546666667,1.53,,,,,,0.176666666,-0.546666667,1.53,,0.176666666,0.546666667,1.53
141,3.463333333,-8.536666667,6.633333333,,,0.24,1.246666667,0.54,0.24,-1.246666667,-0.54,,,,,,0.24,-1.246666667,-0.54,,0.24,1.246666667,0.54
142,3.36,-8.69,6.786666667,,,0.103333333,0.153333333,0.153333334,-0.103333333,-0.153333333,0.153333334,,,,,,-0.103333333,-0.153333333,0.153333334,,0.103333333,0.153333333,0.153333334
143,3.4,-8.793333333,6.446666667,,,0.04,0.103333333,0.34,0.04,-0.103333333,-0.34,,,,,,0.04,-0.103333333,-0.34,,0.04,0.103333333,0.34
144,3.32,-7.756666667,5.363333333,,,0.08,1.036666666,1.083333334,-0.08,1.036666666,-1.083333334,,,,,,-0.08,1.036666666,-1.083333334,,0.08,1.036666666,1.083333334
